"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J2";"F32D-1A7Y1-21040";1;"F32D-1A7Y1-21040";;;
2;"C1";"C_1206_3216Metric";1;"10uF";;;
3;"C2";"C_1206_3216Metric";1;"0.1uF";;;
4;"C3,C4";"C_1206_3216Metric";2;"1uF";;;
5;"D1";"D_SOD-123";1;"MBR0540-TP";;;
6;"D2";"D_MELF";1;"3SMAJ5935B-TP";;;
7;"J3";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
8;"L1";"IND_VLS5045EX-100M";1;"6.8uH";;;
9;"Q1";"SOT-23";1;"BSS138";;;
10;"R1,R3,R4";"R_0603_1608Metric";3;"10k";;;
11;"R2";"R_0603_1608Metric";1;"R";;;
12;"U1";"SOT-23-5";1;"FAN5333BSX";;;
13;"J1";"PinSocket_2x20_P2.54mm_Vertical";1;"Conn_01x40";;;
